@relation valence-weka.filters.unsupervised.attribute.NumericToNominal-Rlast
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 {-1,1}

@data
6716.3,4278.3,0.4993,0.4993,276.84,102.5,0.6822,-0.069135,0.03426,0.68072,-1
6949,3809.6,0.49904,0.49904,338.06,137.15,0.6493,0.03885,0.046375,0.76541,-1
9927.2,4797.4,0.49911,0.49911,445.38,134.58,0.54512,0.013936,0.071267,0.97645,1
12674,10532,0.49896,0.49896,686.73,167.75,0.56985,-0.060611,0.052426,0.85312,1
7085.9,4305.8,0.49917,0.49917,674.9,137.74,0.51679,-0.014956,0.053654,1.0448,1
7633.3,5960.3,0.49904,0.49904,300.22,129.44,0.57606,-0.019348,0.048105,0.67049,1
6776.8,4204.7,0.49922,0.49922,459.79,142.9,0.57755,-0.044484,0.050279,0.76582,-1
9124.4,4631.6,0.49937,0.49937,323.04,98.879,0.51547,-0.025325,0.052298,0.87918,1
10568,5929.3,0.49911,0.49911,433.56,139.27,0.51847,0.0077687,0.075697,0.96897,-1
8296.9,5630.6,0.4993,0.4993,336.63,116.57,0.59544,-0.009152,0.051473,0.91163,-1
8652.9,3756.4,0.49937,0.49937,341.99,101.56,0.61589,0.021073,0.024889,0.71663,1
7977.9,3172.8,0.4993,0.4993,299.16,91.182,0.54534,-0.020983,0.028123,0.94683,-1
11008,4593.8,0.49917,0.49917,771.25,126.7,0.58739,-0.040221,0.035304,0.96901,-1
8878.6,5541.3,0.4993,0.4993,652.22,119.23,0.62591,0.039584,0.046058,0.92249,1
9022.7,8009.1,0.49904,0.49904,545.13,142.05,0.55162,-0.0012438,0.061443,0.88675,1
7362.2,4404.5,0.49886,0.49886,594.31,170.38,0.58593,0.060938,0.039954,0.74398,1
6641.8,5835.7,0.4993,0.4993,624.32,121.45,0.6085,-0.02094,0.053872,0.81522,-1
7750.8,5245.2,0.49922,0.49922,396.12,120.5,0.59445,-0.013187,0.051141,0.77673,1
7593.9,4115.1,0.49937,0.49937,456.44,100.42,0.5699,-0.0063035,0.053737,0.97512,1
11862,6624.5,0.49926,0.49926,360.25,124.91,0.58958,0.0082061,0.040364,0.84959,-1
13187,7675.5,0.49896,0.49896,786.98,164.69,0.54771,0.020726,0.078687,0.99034,1
7905.1,6525.6,0.49937,0.49937,292.81,109.42,0.47699,-0.014267,0.037602,0.63072,1
10338,6943.7,0.49896,0.49896,422.55,161.22,0.50387,-0.028783,0.046306,0.79942,-1
9361.5,4298.6,0.49904,0.49904,504.45,154.73,0.54411,-0.018328,0.047789,0.91321,-1
9068.7,7833,0.49926,0.49926,373.39,127.87,0.53223,-0.0048589,0.056901,0.75181,-1
5603.6,3236.8,0.49934,0.49934,458.51,119.94,0.64558,-0.00090087,0.038996,0.69801,-1
5257.9,3176.1,0.49917,0.49917,550.7,155.09,0.51554,-0.010482,0.079182,0.84338,-1
8264,4475.9,0.49934,0.49934,205.89,87.173,0.56256,0.032264,0.057515,0.5084,-1
7283.2,5611.8,0.49896,0.49896,465.73,154.38,0.55856,-0.00077306,0.060982,0.75721,1
7221.4,3292.1,0.49934,0.49934,507.75,103.2,0.65749,-0.0048944,0.046493,0.89533,1
6319.8,11283,0.49934,0.49934,609.98,142.62,0.56644,-0.0014743,0.051412,0.86291,-1
6320.2,3586.1,0.49875,0.49875,557.86,155.56,0.54748,-0.039218,0.064594,0.74011,-1
6849.6,2837.1,0.49896,0.49896,440.5,128.51,0.56398,-0.011897,0.021549,0.73044,-1
6710.6,5961.2,0.49937,0.49937,723.7,113.84,0.52851,-0.031002,0.043442,0.76871,1
9550.8,4509.1,0.49904,0.49904,687.41,147.55,0.50147,-0.0044288,0.096203,0.99011,-1
8086.4,6327.9,0.49937,0.49937,278.8,105.69,0.57165,-0.028223,0.046664,0.69752,-1
5858.3,4124.6,0.49896,0.49896,873.31,182.39,0.5466,0.014089,0.042704,0.8823,1
7045,4560.1,0.49896,0.49896,410.65,161.3,0.58628,-0.020158,0.06437,0.89502,1
7375.9,4646.1,0.49937,0.49937,391.1,108.23,0.58467,0.0031741,0.044517,0.95311,-1
7548.3,5531.5,0.49922,0.49922,390.45,126.4,0.5855,-0.0025452,0.079479,1.0536,-1
8153.9,2947.7,0.49896,0.49896,575.44,153.46,0.58171,-0.053662,0.028733,0.89113,1
5851.2,3447.3,0.49937,0.49937,461.81,109.12,0.54893,0.014898,0.056194,0.8242,1
5294.7,3966.3,0.4993,0.4993,307.12,111.88,0.54437,0.013157,0.068588,0.95401,1
5330.8,7335.2,0.4993,0.4993,442.81,110.94,0.57243,-0.015082,0.082577,0.47264,-1
7270.5,7265.3,0.4993,0.4993,396.47,119.25,0.56709,-0.011985,0.095711,0.73237,-1
7868,6781.3,0.4993,0.4993,509.9,118.18,0.556,-0.033364,0.054382,0.7616,1
8943.2,6288.1,0.49937,0.49937,515.44,114.48,0.58204,-0.031206,0.013467,0.80168,1
7219.5,3370.5,0.49886,0.49886,514.14,174.5,0.56594,-0.017738,0.072651,1.0326,-1
6485.4,3394.3,0.49926,0.49926,422.56,122.34,0.54435,0.0091431,0.053811,0.97522,1
6756.2,4509.8,0.49904,0.49904,845.62,144.55,0.563,0.031121,0.097039,0.8155,1
